url,title,published_date,predicted_label_bert,predicted_label_claude,predicted_label_deepseek,predicted_label_gemini
http://www.bbc.co.uk/news/53669029,Beirut explosion: How conspiracy theories spread on social media - BBC News,2020/8/5,Center,Right,Center,Center
http://www.bbc.co.uk/news/64417822,Israel-Palestinian conflict: Fears of wider flare-up after deadly Jenin raid - BBC News,2023/1/26,Center,Right,Left,Center
http://www.bbc.co.uk/news/68783840,Israel-Gaza war: Hamas leader Ismail Haniyeh says three sons killed in air strike - BBC News,2024/4/10,Center,Right,Left,Center
http://www.bbc.co.uk/news/articles/c035r104dg7o,Bella Hadid shocked and upset over 'lack of sensitivity' in Adidas campaign - BBC News,2024/7/30,Right,Left,Left,Center
http://www.bbc.co.uk/news/articles/c04p04lq27ko,Who will lead Hamas after killing of Yahya Sinwar? - BBC News,2024/10/19,Left,Right,Left,Center
http://www.bbc.co.uk/news/articles/c04p7q3k4k9o,,,,Center,Left,Center
http://www.bbc.co.uk/news/articles/c04pvn6gg52o,Rushdi Abu Alouf: I fled Gaza but I'm overwhelmed by guilt about family - BBC News,2024/10/26,Left,Left,Left,Center
http://www.bbc.co.uk/news/articles/c05pmmzp63zo,Where next for Iran now its 'Axis of Resistance' is shattered? - BBC News,2024/12/12,Center,Right,Right,Center
http://www.bbc.co.uk/news/articles/c0661dnmzezo,Gaza ceasefire plan in balance US says Hamas proposes 'changes' - BBC News,2024/6/12,Center,Right,Center,Center
http://www.bbc.co.uk/news/articles/c06kdk6z08lo,Israeli man killed in drone attack on Tel Aviv - BBC News,2024/7/19,Right,Right,Center,Center
http://www.bbc.co.uk/news/articles/c07e99ver7ro,Israel accepts proposal to attend âurgentâ?new ceasefire talks - BBC News,2024/8/9,Right,Center,Center,Center
http://www.bbc.co.uk/news/articles/c0e1q5w0q9po,Baroness Warsi quits Conservative Party in the Lords - BBC News,2024/9/26,Right,Right,Left,Left
http://www.bbc.co.uk/news/articles/c0e8gzyp8e2o,Gaza war: Hamas official says it will not join ceasefire talks - BBC News,2024/8/14,Center,Right,Left,Center
http://www.bbc.co.uk/news/articles/c0endd8qj01o,,,,Right,Right,Right
http://www.bbc.co.uk/news/articles/c0ewr870z23o,Ismail Haniyeh: Israel confirms it killed Hamas leader in Tehran - BBC News,2024/12/23,Right,Right,Right,Right
http://www.bbc.co.uk/news/articles/c0j1z5ylgjjo,Trump says Syria 'not our fight'. Staying out may not be so easy - BBC News,2024/12/13,Right,Right,Right,Right
http://www.bbc.co.uk/news/articles/c0j8063plvdo,US to start immediately on fresh push for Gaza ceasefire - BBC News,2024/11/27,Right,Right,Center,Center
http://www.bbc.co.uk/news/articles/c0j8dq235e2o,ICC announces investigation into chief prosecutor Karim Khan - BBC News,2024/11/11,Center,Center,Center,Center
http://www.bbc.co.uk/news/articles/c0jjg284x83o,Protester chains himself to goalposts at Scotland v Israel Euro qualifier - BBC News,2024/6/1,Right,Left,Left,Center
http://www.bbc.co.uk/news/articles/c0jwv16qwqjo,Gaza war: 26 killed in Israeli strikes on mosque and school - BBC News,2024/10/6,Right,Right,Left,Center
http://www.bbc.co.uk/news/articles/c0kjrr44mvdo,Religious hate crime at record high after Israel-Hamas conflict - BBC News,2024/10/10,Center,Left,Center,Center
http://www.bbc.co.uk/news/articles/c0krg2n59d9o,,,,Right,Left,Center
http://www.bbc.co.uk/news/articles/c0l8rgz7rn4o,Aysenur Ezgi Eygi: UN urges inquiry into killing of US-Turkish protester in West Bank - BBC News,2024/9/7,Right,Left,Left,Left
http://www.bbc.co.uk/news/articles/c0lwpg9xrxdo,Palestinians face spike in Israeli demolitions in East Jerusalem - BBC News,2024/10/17,Right,Left,Left,Left
http://www.bbc.co.uk/news/articles/c0mzk7e31pjo,Elon Musk met Iran's UN ambassador in New York - BBC News,2024/11/15,Right,Right,Right,Right
http://www.bbc.co.uk/news/articles/c0qewlw1e3zo,UK's Starmer urges Iran to refrain from Israel attack - BBC News,2024/8/12,Center,Center,Center,Center
http://www.bbc.co.uk/news/articles/c0qexxqdxvdo,"Three killed in attack at West Bank-Jordan border, Israel says - BBC News",2024/9/8,Right,Right,Center,Center
http://www.bbc.co.uk/news/articles/c0r89qwwx2lo,The week that pushed the Middle East closer to all-out war - BBC News,2024/10/4,Left,Right,Right,Center
http://www.bbc.co.uk/news/articles/c0r8gn50qx0o,Burning oil tanker towed to safety to avert Red Sea spill - BBC News,2024/9/17,Center,Right,Center,Center
http://www.bbc.co.uk/news/articles/c0rge45kw4jo,Israel and Hezbollah 'close to Lebanon ceasefire deal' - BBC News,2024/11/25,Right,Center,Center,Center
