url,title,published_date,predicted_label_bert,predicted_label_claude,predicted_label_deepseek,predicted_label_gemini
https://www.theguardian.com/artanddesign/2020/apr/19/the-big-picture-lifes-a-picnic-on-the-banks-of-the-river-moscow,The big picture: life's a picnic on the banks of the River Moscow¡­,2020/4/19,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2020/dec/10/irina-antonova-obituary,Irina Antonova obituary,2020/12/10,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2020/feb/06/mary-gelman-best-photograph-love-downs-syndrome-camphill-svetlana-village,Mary Gelman's best photograph: love in a village for special needs,2020/2/6,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2020/mar/04/cao-fei-blueprints-review-would-you-trade-love-for-progress,Cao Fei: Blueprints review ¨C would you trade love for progress?,2020/3/4,LEFT,Center,Left,Center
https://www.theguardian.com/artanddesign/2020/may/25/fighter-jet-pavement-soviet-roadside-revolution,There's a fighter jet on the pavement! Wonders of the Soviet roadside revolution,2020/5/25,CENTER,Center,Center,Center
https://www.theguardian.com/artanddesign/2021/aug/01/the-big-picture-vodka-and-sunshine-in-southern-siberia-1993,"The big picture: vodka and sunshine in southern Siberia, 1993",2021/8/1,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2021/dec/09/russia-moscows-answer-tate-modern-ragnar-kjartansson-opens-santa-barbara-satire-us-soap,From Russia with schmaltz: Moscow¡¯s answer to Tate Modern opens with a Santa Barbara satire,2021/12/9,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2021/feb/01/russian-faberge-exhibition-contains-fakes-expert-says,"Russian Faberg¨¦ exhibition contains 'at least 20 fakes', expert says",2021/2/1,RIGHT,Right,Center,Center
https://www.theguardian.com/artanddesign/2021/feb/28/the-big-picture-a-brush-with-greyness-in-70s-russia,The big picture: a brush with greyness in 70s Russia ,2021/2/28,CENTER,Center,Left,Left
https://www.theguardian.com/artanddesign/2021/jan/29/bouvier-affair-swiss-prosecutors-to-close-legal-dispute-over-art,Bouvier affair: Swiss prosecutors to close legal dispute over art,2021/1/29,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2021/jun/30/katya-prom-week-ukraine-michal-chelbins-best-photograph,Prom week in Ukraine: Michal Chelbin¡¯s best photograph,2021/6/30,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2021/mar/17/alexey-vasilyev-best-photograph-my-shot-yakutia-russia,Miraculous moment at a pagan festival: Alexey Vasilyev's best photograph,2021/3/17,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2021/mar/31/moscow-lends-faberge-imperial-easter-eggs-for-va-exhibition,Moscow lends Faberg¨¦ Imperial Easter eggs for V&A exhibition,2021/3/30,CENTER,Center,Center,Center
https://www.theguardian.com/artanddesign/2022/apr/03/national-gallery-renames-degas-russian-dancers-as-ukrainian-dancers,National Gallery renames Degas¡¯ Russian Dancers as Ukrainian Dancers,2022/4/3,RIGHT,Center,Left,Center
https://www.theguardian.com/artanddesign/2022/apr/20/ukraine-artists-venice-biennale-russia,¡®We are fighting for our culture¡¯: Ukrainian artists head to Venice Biennale,2022/4/20,RIGHT,Left,Left,Center
https://www.theguardian.com/artanddesign/2022/aug/21/the-big-picture-communal-living-in-modern-st-petersburg-francoise-huguier,The big picture: communal living in modern St Petersburg,2022/8/21,LEFT,Center,Left,Center
https://www.theguardian.com/artanddesign/2022/aug/28/boris-mikhailov-photography-ukrainian-diary-exhibition-book-blaue-horse-now-days,Photographer Boris Mikhailov¡¯s Ukrainian Diary: ¡®He is a kind of proto-punk¡¯,2022/8/28,LEFT,Center,Left,Center
https://www.theguardian.com/artanddesign/2022/dec/23/evgeny-maloletka-agency-photographer-of-2022-ukraine,Ukraine¡¯s Evgeny Maloletka: agency photographer of 2022,2022/12/23,LEFT,Left,Center,Center
https://www.theguardian.com/artanddesign/2022/feb/10/russian-painting-vandalised-by-bored-gallery-guard-who-drew-eyes-on-it,Russian painting vandalised by ¡®bored¡¯ gallery guard who drew eyes on it,2022/2/10,RIGHT,Center,Center,Center
https://www.theguardian.com/artanddesign/2022/feb/23/brave-woman-symbolises-ukraine-mark-nevilles-best-photograph-kremlin-falsehoods,The brave woman who symbolises Ukraine: Mark Neville¡¯s best photograph,2022/2/23,LEFT,Left,Left,Left
https://www.theguardian.com/artanddesign/2022/jul/07/russias-sami-fight-to-save-their-language-and-traditions-photo-essay,Russia¡¯s Sami fight to save their language and traditions ¨C photo essay,2022/7/7,LEFT,Center,Left,Center
https://www.theguardian.com/artanddesign/2022/jul/20/russian-sami-smokes-fish-natalya-saprunovas-best-photograph-reindeer-sacred-animal,A Russian Sami smokes some fish: Natalya Saprunova¡¯s best photograph,2022/7/20,LEFT,Center,Left,Center
https://www.theguardian.com/artanddesign/2022/jun/10/finland-and-russia-a-photo-journey-through-the-border-zone,Finland and Russia: a photo journey through the border zone,2022/6/10,CENTER,Right,Right,Center
https://www.theguardian.com/artanddesign/2022/mar/01/russian-billionaire-banker-petr-aven-royal-academy-trustee-eu-sanctions,Russian billionaire on EU sanctions list quits as Royal Academy trustee,2022/3/1,RIGHT,Right,Left,Center
https://www.theguardian.com/artanddesign/2022/mar/01/tate-faces-call-to-cut-ties-with-russian-oligarch-viktor-vekselberg-and-vladimir-putin-associate,Tate faces call to cut ties with Russian oligarch and Putin associate,2022/3/1,LEFT,Right,Left,Center
https://www.theguardian.com/artanddesign/2022/mar/08/pussy-riot-nadya-tolokonnikova-interview-putin-nfts-russian,Pussy Riot¡¯s Nadya Tolokonnikova: ¡®You cannot play nice with Putin. He is insane. He might open fire on his own people¡¯,2022/3/8,LEFT,Left,Left,Left
https://www.theguardian.com/artanddesign/2022/mar/16/glory-ukraine-photographers-show-true-spirit,¡®Glory to Ukraine!¡¯ ¨C photographers from the country put on a compelling show,2022/3/16,CENTER,Left,Left,Center
https://www.theguardian.com/artanddesign/2022/mar/17/artwashing-art-galleries-russian-oligarch-money,¡®It¡¯s artwashing¡¯: can galleries wean themselves off Russian oligarch loot?,2022/3/17,CENTER,Right,Left,Center
https://www.theguardian.com/artanddesign/2022/mar/18/ukraine-best-loved-artist-peasant-maria-prymachenko-terrifying-fooled-stalin-dictator,Cannibalism and genocide: the horrific visions of Ukraine¡¯s best loved artist,2022/3/18,LEFT,Left,Left,Center
https://www.theguardian.com/artanddesign/2022/mar/26/ukraine-war-artist-george-butler-drawings-kyiv-odesa,Artist George Butler: ¡®I draw what happens at the fringes of atrocity¡¯,2022/3/26,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2022/may/04/fellini-movie-young-odesa-photographed-before-invasion-ukraine-war,"¡®Everywhere I looked, it was like a Fellini movie¡¯ ¡­ the youth of Odesa, photographed before the invasion",2022/5/4,LEFT,Center,Left,Center
https://www.theguardian.com/artanddesign/2022/may/27/ukraine-russia-looting-museums,¡®Ukraine¡¯s heritage is under direct attack¡¯: why Russia is looting the country¡¯s museums,2022/5/27,LEFT,Right,Left,Center
https://www.theguardian.com/artanddesign/2022/nov/11/arts-extravaganza-putin-georgian-ukrainian-artists-tiblisi-siege,¡®We fight propaganda with art¡¯: the Georgian festival hitting back at Putin,2022/11/11,CENTER,Right,Left,Left
https://www.theguardian.com/artanddesign/2022/nov/12/banksy-artwork-appears-on-damaged-building-in-ukraine,Banksy artwork appears on damaged building in Ukraine,2022/11/12,LEFT,Center,Left,Center
https://www.theguardian.com/artanddesign/2022/nov/28/letter-derrick-greaves-obituary,Letter: Derrick Greaves obituary,2022/11/28,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2023/apr/20/iron-people-ukraines-railway-network-in-a-time-of-war-photo-essay,Iron People: Ukraine¡¯s railway network in a time of war ¨C photo essay,2023/4/20,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2023/apr/24/katherine-turczan-ukraine-photos-from-where-they-came,A lost Ukraine: the photographs that show the calm before the carnage,2023/4/24,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2023/dec/22/its-how-i-contribute-to-victory-inside-ukraines-flower-industry-photo-essay,¡®It¡¯s how I contribute to victory¡¯: inside Ukraine¡¯s flower industry ¨C photo essay,2023/12/22,CENTER,Center,Center,Center
https://www.theguardian.com/artanddesign/2023/feb/24/a-year-of-war-in-ukraine-as-witnessed-by-guardian-photographers-photo-essay,A year of war in Ukraine as witnessed by Guardian photographers ¨C photo essay,2023/2/24,CENTER,Left,Left,Center
https://www.theguardian.com/artanddesign/2023/jan/10/banksy-online-auction-for-ukraine-targeted-by-russian-hostile-attacks,Banksy online auction for Ukraine targeted by ¡®hostile attacks¡¯ from Russia,2023/1/10,LEFT,Left,Left,Center
https://www.theguardian.com/artanddesign/2023/mar/05/windows-on-a-war-miguel-gutierrez-photographs-ukraine,Windows on a war: Miguel Guti¨¦rrez¡¯s photographs of Ukraine,2023/3/5,CENTER,Center,Left,Center
https://www.theguardian.com/artanddesign/2023/mar/26/the-big-picture-memories-of-a-rural-russia-untouched-by-time-nadia-sablin-years-like-water,The big picture: memories of a rural Russia untouched by time,2023/3/26,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2023/may/09/paint-shrapnel-putin-ukraines-artist-kharkiv-bomb-shelter,Pass the paint and mind the shrapnel: inside Ukraine¡¯s most creative bomb shelter,2023/5/9,CENTER,Center,Center,Center
https://www.theguardian.com/artanddesign/2023/may/18/stark-before-and-after-images-reveal-the-obliteration-of-bakhmut,Stark before-and-after images reveal the obliteration of Bakhmut,2023/5/18,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2023/may/30/ilya-kabakov-ex-soviet-conceptual-artist-dies-aged-98,"Ilya Kabakov, ex-Soviet conceptual artist, dies aged 89",2023/5/30,LEFT,Left,Left,Center
https://www.theguardian.com/artanddesign/2023/nov/17/irpin-ukraine-car-cemetery-new-york,¡®Please don¡¯t forget us¡¯: giant Ukrainian artwork arrives in New York,2023/11/17,CENTER,Left,Left,Left
https://www.theguardian.com/artanddesign/2023/oct/30/ukrainian-artist-bomb-zhanna-kadyrova-russian-occupation-ak-47,¡®This is our reality¡¯: the Ukrainian artist putting bomb-blasted roads in a gallery,2023/10/30,CENTER,Left,Left,Center
https://www.theguardian.com/artanddesign/2023/sep/01/ukrainian-art-irish-biennale-eva-international,Vegetable grenades with entrail roots: Ukrainian art cuts through at Irish biennale,2023/9/1,CENTER,Left,Left,Center
https://www.theguardian.com/artanddesign/2024/apr/01/ukrainian-sculptor-alex-lidagovsky-fled-kyiv-accepted-into-royal-society-of-british-artists,Ukrainian sculptor who fled Kyiv accepted into Royal Society of British Artists,2024/3/31,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2024/apr/15/bloodied-despondent-clutching-a-toy-the-ukrainian-artists-savaging-refugee-portrait-stereotypes,"Bloodied, despondent, clutching a toy: the Ukrainian artists savaging refugee portrait stereotypes",2024/4/15,CENTER,Left,Left,Center
https://www.theguardian.com/artanddesign/2024/apr/19/no-death-in-venice-israel-gaza-tensions-infiltrate-biennale,¡®No death in Venice¡¯: Israel-Gaza tensions infiltrate biennale,2024/4/19,LEFT,Left,Left,Center
https://www.theguardian.com/artanddesign/2024/feb/12/amazing-sex-nuclear-strike-ukrainians-karaoke-tanks-helicopters,¡®I want to have amazing sex before the nuclear strike¡¯: Ukrainians¡¯ fears and desires go on show,2024/2/12,LEFT,Center,Left,Center
https://www.theguardian.com/artanddesign/2024/feb/21/two-years-of-war-in-ukraine-then-and-now, Two years of war in Ukraine ¨C then and now,2024/2/21,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2024/feb/26/dmitry-markov-russia-cartier-bresson-photographer,¡®Russia¡¯s Cartier-Bresson¡¯: how Dmitry Markov captured beauty amidst the brutality of Putin¡¯s regime,2024/2/26,LEFT,Left,Left,Center
https://www.theguardian.com/artanddesign/2024/jan/08/russian-oligarch-sues-sothebys-for-helping-art-dealer-trick-him-into-overpaying,Russian oligarch sues Sotheby¡¯s for ¡®helping art dealer trick him into overpaying¡¯,2024/1/8,RIGHT,Center,Center,Center
https://www.theguardian.com/artanddesign/2024/jan/30/resilience-and-bravery-in-ukraine-photobrussels-festival-2024,Resilience and bravery in Ukraine: PhotoBrussels festival 2024 ,2024/1/30,LEFT,Center,Left,Center
https://www.theguardian.com/artanddesign/2024/mar/03/frankie-mills-portraits-ukrainian-refugees-in-uk-good-evening-we-are-from-ukraine,¡®This was their home too¡¯: Frankie Mills¡¯s intimate portraits of Ukrainian refugees in the UK,2024/3/3,LEFT,Center,Center,Center
https://www.theguardian.com/artanddesign/2024/mar/11/i-feel-like-im-in-sex-and-the-city-the-women-who-fled-ukraine-to-start-anew,¡®I feel like I¡¯m in Sex and the City¡¯ ¨C the women who fled Ukraine to start anew,2024/3/11,CENTER,Center,Center,Center
